Number of nodes = 1521
mode number = 899, l = 29, m = 29

mode number = 959, l = 30, m = 29
mode number = 960, l = 30, m = 30

mode number = 1020, l = 31, m = 28
mode number = 1021, l = 31, m = 29
mode number = 1022, l = 31, m = 30
mode number = 1023, l = 31, m = 31

mode number = 1084, l = 32, m = 28
mode number = 1085, l = 32, m = 29
mode number = 1086, l = 32, m = 30
mode number = 1087, l = 32, m = 31
mode number = 1088, l = 32, m = 32
mode number = 1089, l = 33, m = -33
mode number = 1090, l = 33, m = -32

mode number = 1149, l = 33, m = 27
mode number = 1150, l = 33, m = 28
mode number = 1151, l = 33, m = 29
mode number = 1152, l = 33, m = 30
mode number = 1153, l = 33, m = 31
mode number = 1154, l = 33, m = 32
mode number = 1155, l = 33, m = 33
mode number = 1156, l = 34, m = -34
mode number = 1157, l = 34, m = -33
mode number = 1158, l = 34, m = -32
mode number = 1159, l = 34, m = -31

mode number = 1217, l = 34, m = 27
mode number = 1218, l = 34, m = 28
mode number = 1219, l = 34, m = 29
mode number = 1220, l = 34, m = 30
mode number = 1221, l = 34, m = 31
mode number = 1222, l = 34, m = 32
mode number = 1223, l = 34, m = 33
mode number = 1224, l = 34, m = 34
mode number = 1225, l = 35, m = -35
mode number = 1226, l = 35, m = -34
mode number = 1227, l = 35, m = -33
mode number = 1228, l = 35, m = -32
mode number = 1229, l = 35, m = -31

mode number = 1287, l = 35, m = 27
mode number = 1288, l = 35, m = 28
mode number = 1289, l = 35, m = 29
mode number = 1290, l = 35, m = 30
mode number = 1291, l = 35, m = 31
mode number = 1292, l = 35, m = 32
mode number = 1293, l = 35, m = 33
mode number = 1294, l = 35, m = 34
mode number = 1295, l = 35, m = 35
mode number = 1296, l = 36, m = -36
mode number = 1297, l = 36, m = -35
mode number = 1298, l = 36, m = -34
mode number = 1299, l = 36, m = -33
mode number = 1300, l = 36, m = -32
mode number = 1301, l = 36, m = -31
mode number = 1302, l = 36, m = -30

mode number = 1358, l = 36, m = 26
mode number = 1359, l = 36, m = 27
mode number = 1360, l = 36, m = 28
mode number = 1361, l = 36, m = 29
mode number = 1362, l = 36, m = 30
mode number = 1363, l = 36, m = 31
mode number = 1364, l = 36, m = 32
mode number = 1365, l = 36, m = 33
mode number = 1366, l = 36, m = 34
mode number = 1367, l = 36, m = 35
mode number = 1368, l = 36, m = 36
mode number = 1369, l = 37, m = -37
mode number = 1370, l = 37, m = -36
mode number = 1371, l = 37, m = -35
mode number = 1372, l = 37, m = -34
mode number = 1373, l = 37, m = -33
mode number = 1374, l = 37, m = -32
mode number = 1375, l = 37, m = -31
mode number = 1376, l = 37, m = -30

mode number = 1432, l = 37, m = 26
mode number = 1433, l = 37, m = 27
mode number = 1434, l = 37, m = 28
mode number = 1435, l = 37, m = 29
mode number = 1436, l = 37, m = 30
mode number = 1437, l = 37, m = 31
mode number = 1438, l = 37, m = 32
mode number = 1439, l = 37, m = 33
mode number = 1440, l = 37, m = 34
mode number = 1441, l = 37, m = 35
mode number = 1442, l = 37, m = 36
mode number = 1443, l = 37, m = 37
mode number = 1444, l = 38, m = -38
mode number = 1445, l = 38, m = -37
mode number = 1446, l = 38, m = -36
mode number = 1447, l = 38, m = -35
mode number = 1448, l = 38, m = -34
mode number = 1449, l = 38, m = -33
mode number = 1450, l = 38, m = -32
mode number = 1451, l = 38, m = -31
mode number = 1452, l = 38, m = -30

mode number = 1508, l = 38, m = 26
mode number = 1509, l = 38, m = 27
mode number = 1510, l = 38, m = 28
mode number = 1511, l = 38, m = 29
mode number = 1512, l = 38, m = 30
mode number = 1513, l = 38, m = 31
mode number = 1514, l = 38, m = 32
mode number = 1515, l = 38, m = 33
mode number = 1516, l = 38, m = 34
mode number = 1517, l = 38, m = 35
mode number = 1518, l = 38, m = 36
mode number = 1519, l = 38, m = 37
mode number = 1520, l = 38, m = 38
mode number = 1521, l = 39, m = -39
